DATE,lat,lon,adm1_code,location_type
2025-11-30 01:00:00,39.8647,-86.2604,USIN,2
2025-11-30 01:00:00,35.4167,-100.267,USTX,3
2025-11-30 01:00:00,35.5376,-96.9247,USOK,2
2025-11-30 01:00:00,42.7475,-107.209,USWY,2
2025-11-21 22:00:00,32.7668,-96.7836,USTX,3
2025-11-21 22:00:00,36.17,-119.746,USCA,2
2025-11-21 22:00:00,26.1504,-80.4831,USFL,3
2025-11-21 22:00:00,27.8333,-81.717,USFL,2
2025-11-21 22:00:00,35.7449,-86.7489,USTN,2
2025-11-21 22:00:00,31.106,-97.6475,USTX,2
2025-11-21 22:00:00,35.5134,-84.5452,USTN,3
2025-12-06 01:45:00,37.768,-78.2057,USVA,2
2025-12-06 01:45:00,35.7449,-86.7489,USTN,2
2025-10-26 21:00:00,41.1289,-98.2883,USNE,2
2025-10-26 21:00:00,40.4403,-99.3698,USNE,3
2025-10-26 21:00:00,40.5167,-99.417,USNE,3
2025-10-26 21:00:00,40.4397,-99.369,USNE,3
2025-10-26 18:00:00,31.106,-97.6475,USTX,2
2026-04-24 06:45:00,31.106,-97.6475,USTX,2
2026-04-24 06:45:00,40.015,-105.271,USCO,3
2026-04-24 06:45:00,39.0646,-105.327,USCO,2
2026-04-24 06:45:00,39.7392,-104.985,USCO,3
2025-10-20 23:15:00,27.8333,-81.717,USFL,2
2025-10-20 23:15:00,41.8334,-87.8501,USIL,3
2025-10-20 23:15:00,41.85,-87.6501,USIL,3
2026-01-01 04:00:00,45.7326,-93.9196,USMN,2
2025-12-13 03:15:00,39.0724,-76.7902,USMD,2
2025-12-13 03:15:00,35.7449,-86.7489,USTN,2
2025-12-13 03:15:00,43.0003,-75.4999,USNY,3
2025-12-13 03:15:00,42.1497,-74.9384,USNY,2
2026-04-11 19:15:00,31.8826,-112.816,USAZ,3
2026-04-11 19:15:00,36.17,-119.746,USCA,2
2026-04-11 19:15:00,34.1064,-117.593,USCA,3
2026-04-11 19:15:00,33.7712,-111.388,USAZ,2
2026-04-11 19:15:00,34.1422,-117.63,USCA,3
2026-04-11 19:15:00,34.1083,-117.29,USCA,3
2025-11-02 15:45:00,41.85,-87.6501,USIL,3
2025-11-02 15:45:00,41.8334,-87.8501,USIL,3
2025-11-02 15:45:00,39.8647,-86.2604,USIN,2
2025-11-02 15:45:00,41.5834,-72.7622,USCT,2
2025-11-02 15:45:00,40.3363,-89.0022,USIL,2
2025-11-02 15:45:00,36.17,-119.746,USCA,2
2025-11-14 23:15:00,31.106,-97.6475,USTX,2
2025-11-14 23:15:00,29.4241,-98.4936,USTX,3
2025-11-30 04:45:00,45.5235,-122.676,USOR,3
2025-11-30 04:45:00,44.5672,-122.127,USOR,2
2025-10-27 00:45:00,36.17,-119.746,USCA,2
2025-10-27 00:45:00,36.8468,-76.2852,USVA,3
2025-10-27 00:45:00,37.768,-78.2057,USVA,2
2025-10-27 00:45:00,41.85,-87.6501,USIL,3
2025-10-21 21:00:00,41.9428,-87.7773,USIL,3
2025-10-21 21:00:00,41.85,-87.6501,USIL,3
2025-10-21 21:00:00,41.5495,-87.537,USIL,3
2025-10-03 04:30:00,27.9586,-81.7081,USFL,3
2025-10-03 04:30:00,39.3498,-75.5148,USDE,2
2025-10-03 04:30:00,44.5672,-122.127,USOR,2
2025-10-03 04:30:00,36.17,-119.746,USCA,2
2025-10-03 04:30:00,21.1098,-157.531,USHI,2
2025-10-03 04:30:00,27.8333,-81.717,USFL,2
2025-10-03 04:30:00,44.0407,-72.7093,USVT,2
2025-10-03 04:30:00,41.5834,-72.7622,USCT,2
2025-10-03 04:30:00,28.292,-80.7492,USFL,3
2025-10-03 04:30:00,40.3363,-89.0022,USIL,2
2025-10-03 04:30:00,41.6772,-71.5101,USRI,2
2025-10-03 04:30:00,40.314,-74.5089,USNJ,2
2025-10-03 04:30:00,32.7831,-96.8067,USTX,3
2025-10-03 04:30:00,40.3363,-89.0022,USIL,2
2025-10-03 04:30:00,44.5672,-122.127,USOR,2
2025-10-03 04:30:00,45.5235,-122.676,USOR,3
2025-12-12 22:00:00,39.0724,-76.7902,USMD,2
2025-11-19 00:45:00,42.1497,-74.9384,USNY,2
2025-11-19 00:45:00,43.152,-76.061,USNY,3
2025-11-19 00:45:00,28.4369,-99.235,USTX,3
2025-11-19 00:45:00,31.106,-97.6475,USTX,2
2025-11-19 00:45:00,41.85,-87.6501,USIL,3
2025-11-14 20:30:00,25.7743,-80.1937,USFL,3
2025-11-14 20:30:00,27.8333,-81.717,USFL,2
2025-11-14 20:30:00,40.314,-74.5089,USNJ,2
2025-11-14 20:30:00,40.7357,-74.1724,USNJ,3
2026-04-06 05:45:00,34.0983,-118.327,USCA,3
2026-04-06 05:45:00,34.2522,-118.288,USCA,3
2026-04-06 05:45:00,36.17,-119.746,USCA,2
2025-12-29 18:15:00,31.106,-97.6475,USTX,2
2025-12-29 18:15:00,30.3169,-95.4669,USTX,3
2025-10-17 03:15:00,40.3363,-89.0022,USIL,2
2025-10-17 03:15:00,41.85,-87.6501,USIL,3
2025-10-24 00:15:00,40.7389,-74.0089,USNY,3
2025-10-24 00:15:00,40.3363,-89.0022,USIL,2
2025-10-24 00:15:00,36.17,-119.746,USCA,2
2025-10-24 00:15:00,39.8647,-86.2604,USIN,2
2025-10-24 00:15:00,27.8333,-81.717,USFL,2
2025-10-24 00:15:00,42.1497,-74.9384,USNY,2
2025-10-24 00:15:00,41.85,-87.6501,USIL,3
2025-10-24 00:15:00,36.17,-119.746,USCA,2
2025-10-24 00:15:00,40.3363,-89.0022,USIL,2
2025-12-04 01:15:00,37.768,-78.2057,USVA,2
2025-12-04 01:15:00,39.9523,-75.1638,USPA,3
2025-12-04 01:15:00,32.7254,-97.3208,USTX,3
2025-12-04 01:15:00,40.5773,-77.264,USPA,2
2025-12-04 01:15:00,31.106,-97.6475,USTX,2
2025-12-04 01:15:00,38.0685,-78.8895,USVA,3
2025-12-04 04:00:00,32.7831,-96.8067,USTX,3
2025-12-04 04:00:00,36.17,-119.746,USCA,2
2025-12-04 04:00:00,36.17,-119.746,USCA,2
2025-12-09 05:00:00,39.9523,-75.1638,USPA,3
2025-12-09 05:00:00,41.85,-87.6501,USIL,3
2025-12-09 05:00:00,32.7831,-96.8067,USTX,3
2025-12-09 05:00:00,44.2394,-114.51,USID,2
2025-12-09 05:00:00,42.1292,-80.0851,USPA,3
2025-12-09 05:00:00,40.1671,-75.2899,USPA,3
2025-12-09 05:00:00,41.885,-87.7845,USIL,3
2025-12-09 05:00:00,40.1164,-88.2434,USIL,3
2025-12-09 05:00:00,43.6135,-116.203,USID,3
2025-12-09 05:00:00,40.6255,-111.876,USUT,3
2025-12-09 05:00:00,40.7608,-111.891,USUT,3
2026-01-18 04:45:00,45.7326,-93.9196,USMN,2
2025-11-23 05:30:00,31.106,-97.6475,USTX,2
2025-11-23 05:30:00,30.3263,-97.7242,USTX,3
2025-11-23 05:30:00,29.7633,-95.3633,USTX,3
2026-01-17 21:15:00,45.7326,-93.9196,USMN,2
2025-10-08 18:30:00,42.3584,-71.0598,USMA,3
2025-10-08 18:30:00,41.85,-87.6501,USIL,3
2026-04-21 00:45:00,35.6411,-79.8431,USNC,2
2026-04-21 00:45:00,34.9502,-77.9497,USNC,3
